industry,stock_A,stock_B,corr,coint_p,adf_p,alpha,hedge_ratio,spread_std,n_obs,passes_filter,score
Banks,PNC,TFC,0.8209404317832217,9.044426941943751e-05,1.1853117797763507e-05,0.9932182801123339,1.1213828159107413,0.03276716000537439,752,True,4.547194946319555
Energy,COP,OXY,0.7983401722064029,0.018097499945263128,0.0040931520070288194,2.149585512663151,0.6335214655744741,0.048108173836156815,752,True,4.369448767980972
Banks,USB,PNC,0.8284041993234937,0.05030197438460366,0.013546357381460294,-0.21363527694679973,0.7778013484893762,0.04498882009913105,752,True,4.364216494511136
Banks,USB,TFC,0.8157495623695067,0.08551649913397524,0.025686841987112158,0.5385407947721212,0.8777375904641245,0.048886492358553225,752,True,4.145206337618709
Semiconductors,MU,LRCX,0.7423572280923054,0.011560073624272561,0.002444596343539599,-1.3446334307415135,1.3434089466297396,0.09622523386616802,752,True,4.142884867977708
Banks,GS,MS,0.8461330308017616,0.12985139200262108,0.043017601897505246,0.31164606550511564,1.2548356606755497,0.05874280249411045,752,False,4.072689087061788
Banks,JPM,WFC,0.7383958796900238,0.029657914464204203,0.007263125193666841,1.1885071170868464,1.0163365985261175,0.04556031026839002,752,True,4.0469191962534286
Energy,COP,HAL,0.7301416831061688,0.03499020266739714,0.008809429427853444,3.047364923120785,0.47229722304923216,0.05075295630700108,752,True,3.9859900875593475
Energy,PSX,MPC,0.8232187502524727,0.13147346534938692,0.04371217243572302,0.8569553651657458,0.7855036083900089,0.05412578339931159,752,False,3.9606416923790295
Banks,BAC,TFC,0.7580552583500334,0.07550191990298054,0.022068293111906733,-0.7657296625777121,1.2096257338743355,0.0647955383642488,752,True,3.929547308392989
Energy,SLB,HAL,0.8049063200215952,0.12295631056861933,0.04017832326754366,1.1459984932170606,0.7742243040045595,0.05216502850844324,752,False,3.918606165774904
Energy,EOG,OXY,0.7761747425424071,0.11898857020660603,0.038659198424959,3.6894106078986866,0.27973005333192713,0.06102958502501712,752,False,3.806776132041678
Banks,BAC,GS,0.7364883416567095,0.0827743388525316,0.02462102281151799,-0.0991892972407804,0.6050272697515275,0.0519149719642334,752,True,3.7980270419565585
Banks,GS,BK,0.6540886932823061,0.026349633392734533,0.006312671660443224,2.1030314677748905,0.9728678560456432,0.04844213392446729,752,True,3.6783051160450904
Energy,COP,SLB,0.6589245878825645,0.037803817228134175,0.009649969566830695,2.5290345743853493,0.5623786505745301,0.05685056795263234,752,True,3.649916897775162
Banks,JPM,BAC,0.7454132375868312,0.1413115353649329,0.047854564158323155,0.8156096938284918,1.2404216726806663,0.05515641344178719,752,False,3.5592922782371326
Banks,BAC,WFC,0.8099710939440146,0.20055305592177858,0.07487536944236768,0.394057054978429,0.7967613395825763,0.044368831641682156,752,False,3.557569988543603
Payments,V,MA,0.8508700469845865,0.23816363758542614,0.09428015615563318,-0.6693825639097213,1.0269220941810495,0.030134686760054687,752,False,3.548103988489931
Banks,MS,BK,0.6588844558156746,0.06607723592641605,0.018761586781152785,1.5337084695951297,0.7504768915773186,0.06372961245793254,752,True,3.522318723018373
Semiconductors,MU,AMAT,0.657688131645978,0.09255757883452292,0.028271616823465198,-4.883572014316375,1.840416840268512,0.18234914050921744,752,True,3.3940856528025334
Energy,EOG,HAL,0.6999129667646377,0.1470647326271659,0.05038213094334538,4.248480419415927,0.16097781885425277,0.06761439400605655,752,False,3.324212651459605
Banks,JPM,GS,0.766367956614305,0.20785820787391895,0.07833754568481834,0.5431837831997086,0.7743415027416223,0.05267003108818026,752,False,3.322576984114787
Banks,TFC,BK,0.6210331328815123,0.08750646073702234,0.02640676381731278,1.8093363193163263,0.43833303775899557,0.07194050065853119,752,True,3.251119837939296
Banks,C,GS,0.778543233922954,0.23237603907669518,0.09118231655100029,-1.5585877318048986,0.923936719949884,0.05460283654185466,752,False,3.2498857549802684
Energy,CVX,VLO,0.5989615880430693,0.07365601096082772,0.021395404964882837,3.5474430648568855,0.3017745375725651,0.0548530485643185,752,True,3.215181414165576
Banks,USB,BK,0.6294542834415924,0.10883185033236509,0.03452706141833342,2.102870664900255,0.39030558815897143,0.07638563525613545,752,False,3.188859265899864
Banks,BAC,BK,0.6645157948118371,0.14630162180476908,0.05004163217386886,1.1764900150870545,0.5878426604285285,0.06056356647434367,752,False,3.167133425385316
Banks,BAC,PNC,0.7878079529184387,0.2632628275164195,0.10727072028985712,-1.777582948950343,1.0670747662543514,0.06241465735382089,752,False,3.131042869830233
Energy,PSX,VLO,0.8239076129608834,0.29563279449956065,0.1250761416296295,1.4712501577892922,0.6797173720121519,0.07145131286564395,752,False,3.1230674301147596
Energy,EOG,SLB,0.6221663169388348,0.12616975285340443,0.041563235480187054,4.015447570510577,0.20653890695949162,0.06686690286183523,752,False,3.072470029517354
Retail,DG,DLTR,0.494157110378342,0.0012411895509935628,0.00020167327477524447,0.20337198632013065,0.9793564804159807,0.09158096702673385,752,False,3.057666255855809
Banks,C,MS,0.7588910483512858,0.2754158904508297,0.11387761076581981,-1.2728746322821713,1.1598585433689,0.07645650431353591,752,False,2.93532980135493
Banks,GS,TFC,0.6637213566037696,0.19259903823866292,0.07099642601477445,-0.6132629423640523,1.8667036857757608,0.13837057454339355,752,False,2.9334847657713894
Banks,WFC,GS,0.706244875165384,0.24049060357134067,0.09526625428824503,-0.49074614972984776,0.738870059797998,0.06978982902617885,752,False,2.879567199036757
Autos,F,GM,0.6709370006763852,0.21139067875798873,0.08009110359212313,2.1065415873698523,0.09051977401632794,0.11138771287320227,752,False,2.8708145959229587
Banks,JPM,BK,0.6073199479462412,0.16099489198847816,0.05654257882679844,2.131117225048545,0.7628106624959958,0.04872054645863308,752,False,2.834744410433862
Semiconductors,MU,KLAC,0.6539903515408365,0.2103122513943565,0.07954124856240269,-4.759301002696972,1.4368290450656147,0.17044936518563808,752,False,2.799382130325694
Energy,XOM,VLO,0.586678934662016,0.15223247205929602,0.05235122160370699,2.2678834085043604,0.49620689363944326,0.05455836272852101,752,False,2.785283555851368
Energy,EOG,PSX,0.6284306909676255,0.1972500610134436,0.07328498656502534,3.9281652048639053,0.179315834698901,0.07128348080976123,752,False,2.7493551719706186
Airlines,AAL,JBLU,0.5604192932698394,0.13582367002852974,0.045524951989061355,1.6674170522956402,0.5287823155064477,0.11996184797484095,752,False,2.7453544636053864
Energy,MPC,VLO,0.8675508655411435,0.4103759669050887,0.19695605543329014,0.876834081041558,0.8462923720031332,0.06799060571885128,752,False,2.680547293450937
Payments,PYPL,FIS,0.43171987099872994,0.024046286208924624,0.00567242001983061,1.1697935998404674,0.7143894799489066,0.1019281292059883,752,False,2.6778242675254633
Energy,OXY,HAL,0.6746365339837029,0.25178664144698404,0.10117052811289345,1.759531451750414,0.6453850949767683,0.08342443740068083,752,False,2.6769977523911677
Energy,EOG,VLO,0.5669455959498778,0.16587126137902608,0.05868182448522499,4.353063517684397,0.08953972217259043,0.07399768578518182,752,False,2.6272846508285226
Energy,EOG,MPC,0.5687285771915266,0.17902938170253263,0.0647007460408281,4.24890935748877,0.10803804842685771,0.07355389364496598,752,False,2.569783289136174
HealthCare,PFE,BIIB,0.44181821619818534,0.0648944722432532,0.018373326000083928,1.041079837474559,0.4361314922282018,0.06518964956154129,752,False,2.5412711143327735
Banks,WFC,TFC,0.692597148373934,0.2929073956448592,0.12365205359461429,-1.135480315818782,1.4312684119359247,0.10504144466510672,752,False,2.5405773364379427
Airlines,DAL,UAL,0.8767677128207303,0.450905282789272,0.22620823734739032,1.6860428149183395,0.531148418268764,0.0891690008347234,752,False,2.4823763214883434
Airlines,LUV,CPA,0.40024419809892164,0.04816470720238472,0.012857644387213,-0.8443465007422546,0.9274819884523797,0.10184237339785135,752,False,2.428182517344493
Semiconductors,AMD,LRCX,0.6055354666186307,0.24093489454859107,0.0957340370904563,2.20433880767062,0.612732159887436,0.14639226218162918,752,False,2.418765468365081
HealthCare,PFE,ABBV,0.3784264915327785,0.03228982292973599,0.008004373505233106,6.429541438606108,-0.5966394856796073,0.09483954205761996,752,False,2.3996471009893243
Banks,BAC,C,0.8073550214751616,0.4142402772956329,0.19972383082230294,0.994721741420598,0.6375017587106493,0.0616834632789728,752,False,2.3841896916651644
Banks,PNC,BK,0.6261407162956212,0.2879234242390427,0.12079487347339973,2.9445442363848393,0.5096945122134846,0.0727702882031405,752,False,2.265478950626272
Energy,SLB,OXY,0.5811336587695103,0.2508967655777994,0.10077548579368867,0.1567583214389643,0.9168825350741328,0.09033904661012782,752,False,2.256491584028684
Banks,C,TFC,0.679309051886083,0.3387123416345224,0.15026887746612716,-2.116108346785925,1.722246920400143,0.1399132071139482,752,False,2.2317355443445868
Semiconductors,AMAT,LRCX,0.9031439929915214,0.5120692133951454,0.27324029579592185,2.244444952257716,0.6592958632023365,0.09270124381252443,752,False,2.22972810522772
Autos,HMC,STLA,0.37376877065846187,0.06630934961840113,0.018844371472270773,3.039750957409634,0.1440570344945864,0.076144368278622,752,False,2.2256078366299477
HealthCare,LLY,AMGN,0.3231340437485135,0.014887594925330259,0.003262388511675065,-3.04002588411786,1.7011407956897564,0.11750392154803597,752,False,2.2237374141094337
Energy,XOM,CVX,0.804890936607466,0.4396308038182586,0.21779082388164667,-0.8954347394460598,1.11567130106293,0.06085618947381043,752,False,2.223521813514883
Banks,GS,USB,0.6425770470634682,0.3097540791690353,0.13323698595137884,-1.0523096013224347,1.9394702976930773,0.16543335830973827,752,False,2.2226181176185973
Airlines,CPA,RYAAY,0.3957932670966714,0.08976940930546345,0.027258755577686505,2.454012684991625,0.5567625666136014,0.08310221535785223,752,False,2.216940679590111
Semiconductors,AMD,AMAT,0.5900143030664625,0.27031000075723133,0.11133550937815673,0.4100052988297236,0.8737783598346258,0.14774709308443568,752,False,2.194101020779003
Autos,TSLA,STLA,0.32165325327519867,0.0252392442375892,0.006002594538282674,7.348478293799694,-0.64676023191205,0.19607407332691631,752,False,2.1724705083874944
