industry,stock_A,stock_B,corr,coint_p,adf_p,alpha,hedge_ratio,spread_std,n_obs,passes_filter,score,decision
Banks,PNC,TFC,0.8209404317832217,9.044426941943751e-05,1.1853117797763507e-05,0.9932182801123339,1.1213828159107413,0.03276716000537439,752,True,4.547194946319555,selected
Energy,COP,OXY,0.7983401722064029,0.018097499945263128,0.0040931520070288194,2.149585512663151,0.6335214655744741,0.048108173836156815,752,True,4.369448767980972,selected
Semiconductors,MU,LRCX,0.7423572280923054,0.011560073624272561,0.002444596343539599,-1.3446334307415135,1.3434089466297396,0.09622523386616802,752,True,4.142884867977708,selected
