industry,stock_A,stock_B,corr,coint_p,adf_p,alpha,hedge_ratio,spread_std,n_obs,passes_filter,score,decision
Airlines,AAL,JBLU,0.5604192932698394,0.13582367002852974,0.045524951989061355,1.6674170522956402,0.5287823155064477,0.11996184797484095,752,False,2.7453544636053864,rejected
Autos,F,GM,0.6709370006763852,0.21139067875798873,0.08009110359212313,2.1065415873698523,0.09051977401632794,0.11138771287320227,752,False,2.8708145959229587,rejected
Banks,PNC,TFC,0.8209404317832217,9.044426941943751e-05,1.1853117797763507e-05,0.9932182801123339,1.1213828159107413,0.03276716000537439,752,True,4.547194946319555,selected
Beverages,PEP,STZ,0.42790834911844017,0.16252482993227774,0.05667004085002127,3.3657024168228133,0.3213785962737923,0.06577013892002335,752,False,2.0138549904596044,rejected
Communication,META,NFLX,0.3044884369917259,0.06321171149624029,0.017799881447981218,2.7941330066412426,0.7999415279956805,0.1020379341687922,752,False,1.924904344716316,rejected
Energy,COP,OXY,0.7983401722064029,0.018097499945263128,0.0040931520070288194,2.149585512663151,0.6335214655744741,0.048108173836156815,752,True,4.369448767980972,selected
HealthCare,PFE,BIIB,0.44181821619818534,0.0648944722432532,0.018373326000083928,1.041079837474559,0.4361314922282018,0.06518964956154129,752,False,2.5412711143327735,rejected
Payments,V,MA,0.8508700469845865,0.23816363758542614,0.09428015615563318,-0.6693825639097213,1.0269220941810495,0.030134686760054687,752,False,3.548103988489931,rejected
Retail,DG,DLTR,0.494157110378342,0.0012411895509935628,0.00020167327477524447,0.20337198632013065,0.9793564804159807,0.09158096702673385,752,False,3.057666255855809,rejected
Semiconductors,MU,LRCX,0.7423572280923054,0.011560073624272561,0.002444596343539599,-1.3446334307415135,1.3434089466297396,0.09622523386616802,752,True,4.142884867977708,selected
